open,high,low,close,volume,hour,minute,weekday,month,range,price_return,abs_return,ATR_14,efficiency,range_change,efficiency_change,volatility_spike,rolling_volatility_std,session,session_step,time_since_session_open,price_vs_session_open,prev_session,is_session_transition,prev_session_return,prev_session_efficiency,body_ratio,wick_top,wick_bottom,prev_high,prev_low,fakeout_flag,engulfing_flag,strong_close,prev_return,return_direction_match,rolling_return_sum_3,rolling_max_high,rolling_min_low,relative_to_local_extreme,distance_to_prev_high,distance_to_prev_low,touch_prev_session_high,touch_prev_session_low,is_range_boundary_test,equal_highs_lows_flag,return,trend_strength,volatility_normalized_return,body_wick_alignment_score,session_bias_score,dist_to_support,dist_to_resistance,in_support_zone,in_resistance_zone,range_bot,range_top,fake_break_high,fake_break_low,bait_trap_pattern,time_to_support
4546.65,4546.65,4525.0,4532.29,2823.56055564,22,0,3,12,21.64999999999964,-14.359999999999673,14.359999999999673,38.91857142857134,0.5562896890944382,0.9704168534289614,1.0809837481558102,False,13.59507263680539,Other,4663,139890,4336.49,Other,False,1647.18,0.9264105004892984,0.6632794457274787,0.0,7.289999999999964,4556.45,4534.14,False,False,False,8.339999999999236,False,-7.220000000000255,4556.45,4472.59,-24.15999999999985,-9.800000000000182,-9.140000000000327,False,True,True,False,-14.359999999999673,7.988319935395951,-0.3689755166464704,False,-2.406666666666752,6.464506269180127e-05,0.0022070310885539826,True,False,4524.7075,4536.6375,True,True,True,2.0
4545.07,4556.33,4529.52,4533.53,2158.63422995,23,0,3,12,26.80999999999949,-11.539999999999964,11.539999999999964,34.28285714285695,0.7820235019584861,0.9544321822712478,0.994780188309844,False,10.674169704895183,Other,4665,139950,4337.73,Other,False,1647.18,0.9264105004892984,0.4304364043267505,11.260000000000218,4.009999999999309,4559.84,4531.75,False,False,True,12.779999999999744,False,-13.11999999999989,4559.84,4522.88,-26.3100000000004,-3.5100000000002183,-2.2299999999995634,False,True,True,True,-11.539999999999964,9.0245512126009,-0.3366113842820243,False,-4.3733333333332975,0.0010636046639478905,0.0039611319393588066,False,False,4524.7075,4536.6375,True,True,True,0.0
4533.52,4541.94,4500.0,4514.59,4288.49678882,23,30,3,12,41.9399999999996,-18.93000000000029,18.93000000000029,32.59714285714264,1.2866158296082004,1.5643416635583884,1.645239339209144,False,9.53689350773041,Other,4666,139980,4318.79,Other,False,1647.18,0.9264105004892984,0.4513590844063059,8.419999999999163,14.590000000000146,4556.33,4529.52,False,False,False,-11.539999999999964,True,-17.69000000000051,4559.84,4500.0,-45.25,-14.390000000000327,-29.52000000000044,False,True,True,False,-18.93000000000029,24.35563765448361,-0.5807257428346171,False,-5.896666666666836,0.00022217285047767163,0.0011688172131892357,True,False,4501.0,4515.4800000000005,True,True,True,3.0
4524.37,4550.0,4520.01,4520.01,1730.31609626,0,30,4,12,29.98999999999978,-4.359999999999673,4.359999999999673,32.78214285714265,0.9148273232378246,1.0391545391545434,1.032927989459206,False,9.513194579694206,Asia,8163,244890,4323.37,Asia,False,1646.65,0.9251772000090536,0.1453817939313005,25.63000000000011,0.0,4535.49,4506.63,True,False,True,9.819999999999707,False,-13.470000000000256,4559.84,4500.0,-39.82999999999993,14.510000000000218,13.38000000000011,True,False,True,False,-4.359999999999673,3.988647129316616,-0.1329992373896847,False,4.739999999999772,0.0010381886563938592,0.0029454634627519133,False,False,4501.0,4536.6375,True,True,True,1.0
4520.05,4539.69,4512.17,4517.97,1625.51531775,1,0,4,12,27.519999999999527,-2.0799999999999272,2.0799999999999272,30.66571428571407,0.8974191745085159,0.9176392130710146,0.980971109752498,False,6.55204811066383,Asia,8164,244920,4321.33,Asia,False,1646.65,0.9251772000090536,0.0755813953488358,19.63999999999941,5.800000000000182,4550.0,4520.01,False,False,False,-4.359999999999673,True,3.380000000000109,4556.33,4500.0,-41.86999999999989,-10.3100000000004,-7.8400000000001455,False,True,True,False,-2.0799999999999272,1.866631882977648,-0.067828193422154,False,1.126666666666693,0.002481670739835608,0.0006728551708175453,False,True,4501.0,4536.6375,True,True,True,0.0
4517.44,4524.11,4473.59,4492.97,2398.83812763,2,30,4,12,50.51999999999953,-24.469999999999345,24.469999999999345,29.81499999999973,1.6944491028006032,2.244335850732965,2.137606096685269,False,9.01605290579034,Asia,8167,245010,4296.33,Asia,False,1646.65,0.9251772000090536,0.4843626286619076,6.670000000000073,19.38000000000011,4530.41,4507.9,False,False,False,-0.8299999999999272,True,-25.35999999999968,4550.0,4473.59,-57.02999999999975,-6.300000000000182,-34.30999999999949,False,True,True,False,-24.469999999999345,41.46316954552965,-0.8207278215663111,False,-8.453333333333234,0.00031155457534293667,0.0019112032386366896,True,False,4486.286666666667,4515.4800000000005,True,True,True,0.0
4528.69,4544.07,4519.12,4533.61,2067.58262919,4,30,4,12,24.94999999999981,4.920000000000073,4.920000000000073,29.80285714285687,0.8371680567539083,0.6377811860940666,0.6337457572490649,False,9.254786449304692,Asia,8171,245130,4336.969999999999,Asia,False,1646.65,0.9251772000090536,0.1971943887775594,10.460000000000036,9.569999999999707,4531.89,4492.77,False,False,False,32.289999999999964,True,34.88000000000011,4544.07,4473.59,1.7199999999993452,12.179999999999382,26.34999999999945,True,False,True,False,4.920000000000073,4.118866839229289,0.1650848432556841,False,11.626666666666694,0.0012348864539863727,0.0016383279466344602,False,False,4524.7075,4536.6375,True,True,True,0.0
4582.04,4620.57,4582.04,4602.85,1885.93751827,10,0,4,12,38.52999999999975,20.8100000000004,20.8100000000004,30.770714285714217,1.2521646277768697,1.254640182351016,1.1940327815415144,False,10.967266245008284,London,5834,175020,4397.120000000001,London,False,1635.95,1.0909018480662835,0.5400986244484957,17.719999999999345,0.0,4586.84,4556.13,False,False,False,24.47000000000025,True,39.3700000000008,4620.57,4548.12,16.01000000000022,33.72999999999956,25.90999999999985,True,False,True,False,20.8100000000004,26.05754590403716,0.6762923930453498,False,13.123333333333598,0.0011281354808964006,2.8856551914188645e-06,False,True,4587.215,4620.556666666667,True,True,True,0.0
4617.58,4634.28,4603.13,4606.2,3044.60113868,12,0,4,12,31.14999999999964,-11.38000000000011,11.38000000000011,30.48000000000001,1.0219816272965754,1.4441353732034652,1.4148614442144103,False,6.436329267870889,London,5838,175140,4400.47,London,False,1635.95,1.0909018480662835,0.3653290529695102,16.699999999999818,3.069999999999709,4619.01,4597.44,True,False,True,7.869999999999891,False,27.350000000000364,4634.28,4574.32,-14.36999999999989,15.269999999999529,5.690000000000509,True,False,True,False,-11.38000000000011,11.63015091863514,-0.3733595800524968,False,9.116666666666788,0.003469425348495757,0.0011283507004504958,False,False,4587.215,4620.556666666667,True,True,True,2.0
4609.31,4662.75,4573.23,4602.69,8627.93272893,13,30,4,12,89.52000000000044,-6.6200000000008,6.6200000000008,31.099999999999973,2.878456591639888,5.222870478413272,4.452395120515966,True,21.073314378353235,London + NY Overlap,2333,69990,4392.04,London + NY Overlap,False,1639.01,1.2947617514833134,0.0739499553172561,53.4399999999996,29.46000000000004,4611.44,4594.3,True,False,False,9.949999999999818,False,-3.500000000000909,4662.75,4573.23,-31.590000000000146,51.3100000000004,-21.07000000000062,True,True,True,False,-6.6200000000008,19.05538263665836,-0.212861736334431,False,24.519999999999527,0.0030486907633500023,0.005008066575924352,False,False,4587.215,4620.556666666667,True,True,True,0.0
4469.68,4469.68,4351.99,4400.77,24933.69673876,16,0,4,12,117.69000000000052,-68.90999999999985,68.90999999999985,46.31000000000001,2.5413517598790865,1.6851374570446993,1.4301861457550755,True,34.79240651508827,New York,5832,174960,4204.400000000001,New York,False,1643.9899999999998,1.0198855106077152,0.5855212847310693,0.0,48.780000000000655,4527.4,4457.56,False,False,False,-55.13999999999942,True,-124.30999999999948,4605.77,4351.99,-261.9799999999996,-57.71999999999935,-105.57000000000062,False,True,True,False,-68.90999999999985,175.1245497732675,-1.4880155473979668,False,-41.4366666666665,0.00040227665600079765,0.00127688744125214,True,False,4350.239999999999,4435.983333333333,True,True,True,0.0
4400.77,4420.0,4320.0,4344.51,20045.23870777,16,30,4,12,100.0,-56.26000000000022,56.26000000000022,51.25928571428573,1.950866045176484,0.8496898631999283,0.767648963821247,False,36.06059050789151,New York,5833,174990,4148.14,New York,False,1643.9899999999998,1.0198855106077152,0.5626000000000022,19.229999999999563,24.51000000000022,4469.68,4351.99,False,False,False,-68.90999999999985,True,-180.3099999999995,4596.58,4320.0,-261.2600000000002,-49.68000000000029,-31.98999999999978,False,True,True,False,-56.26000000000022,109.75572370162938,-1.0975572370162938,False,-60.10333333333316,0.0019168617737405978,0.0036031094195573326,False,False,4331.772,4347.555,True,True,True,0.0
4344.14,4366.16,4302.15,4327.34,14341.43792259,17,0,4,12,64.01000000000022,-16.800000000000182,16.800000000000182,53.07928571428575,1.20593182705118,0.6401000000000022,0.6181520407476704,False,34.65477938819554,New York,5834,175020,4130.97,New York,False,1643.9899999999998,1.0198855106077152,0.2624589907826921,22.019999999999527,25.19000000000051,4420.0,4320.0,False,False,False,-56.26000000000022,True,-141.97000000000023,4530.0,4302.15,-269.2399999999998,-53.84000000000015,-17.850000000000364,False,True,True,False,-16.800000000000182,20.25965469446005,-0.3165076502805807,False,-47.323333333333416,0.001079687935358165,0.0007209376308844272,False,True,4311.735000000001,4329.81,True,True,True,2.0
