time,open,high,low,close,ATR
2025-04-22T21:30:00Z,91474,93928,91174,93042,617.1028783738129
2025-04-22T22:00:00Z,93052,93316,92565,92935,626.6669584899691
2025-04-22T22:30:00Z,92943,93072,92654,92799,611.7621757406856
2025-04-22T23:00:00Z,92810,93713,92810,93644,633.3505917592081
2025-04-22T23:30:00Z,93629,93899,93411,93481,622.9684066335503
2025-04-23T00:00:00Z,93482,93921,93349,93350,619.3278061597254
2025-04-23T00:30:00Z,93350,93449,92863,92938,616.9472485768878
2025-04-23T01:00:00Z,92947,93527,92919,93329,616.3081593928245
2025-04-23T01:30:00Z,93311,93313,92657,92687,620.2861480076226
2025-04-23T02:00:00Z,92687,93263,92658,93030,619.1942802927924
2025-04-23T02:30:00Z,93029,93040,92827,92909,590.1804031290214
2025-04-23T03:00:00Z,92909,92950,92720,92948,564.4532314769484
2025-04-23T03:30:00Z,92948,93216,92871,93188,548.7780006571663
2025-04-23T04:00:00Z,93200,93270,93061,93108,524.5081434673688
2025-04-23T04:30:00Z,93108,93697,93107,93696,529.1861332196996
2025-04-23T05:00:00Z,93696,93696,93386,93440,513.529980846864
2025-04-23T05:30:00Z,93439,93601,93325,93508,496.56355364351657
2025-04-23T06:00:00Z,93511,93885,93441,93764,492.8090140975511
2025-04-23T06:30:00Z,93765,93854,93601,93691,475.6797988048689
2025-04-23T07:00:00Z,93665,93846,93517,93577,465.2026703188068
2025-04-23T07:30:00Z,93577,94257,93577,94154,480.54533672460633
2025-04-23T08:00:00Z,94154,94510,93944,94282,486.6492412442773
2025-04-23T08:30:00Z,94272,94456,94159,94311,473.102866869686
2025-04-23T09:00:00Z,94312,94422,94174,94174,457.02409066470847
2025-04-23T09:30:00Z,94173,94238,93931,93931,446.3080841886579
2025-04-23T10:00:00Z,93922,93922,93382,93639,453.6432210323252
2025-04-23T10:30:00Z,93664,93762,93551,93762,436.3115623871591
2025-04-23T11:00:00Z,93762,93787,93611,93641,417.7178793595049
2025-04-23T11:30:00Z,93632,93654,93360,93486,408.8808879766831
2025-04-23T12:00:00Z,93486,93843,93444,93758,408.1751102640629
2025-04-23T12:30:00Z,93754,93877,93648,93782,395.37688810234414
2025-04-23T13:00:00Z,93794,94181,93727,94039,399.564253237891
2025-04-23T13:30:00Z,94039,94700,92917,93063,498.3810922923274
2025-04-23T14:00:00Z,93055,93674,92715,93165,531.2824428428755
2025-04-23T14:30:00Z,93166,93257,92824,92972,524.2622683540988
2025-04-23T15:00:00Z,92965,92965,91970,92151,558.3863920430916
2025-04-23T15:30:00Z,92144,93244,92039,93209,604.5730783257279
2025-04-23T16:00:00Z,93207,93382,92934,93382,593.3892870167474
2025-04-23T16:30:00Z,93382,93775,93332,93669,582.6471950869798
2025-04-23T17:00:00Z,93668,93964,93500,93790,574.1723954379098
2025-04-23T17:30:00Z,93790,93981,93627,93914,558.4457957637734
2025-04-23T18:00:00Z,93913,94227,93881,93917,543.271096066361
2025-04-23T18:30:00Z,93917,93984,93646,93646,528.6088749187637
2025-04-23T19:00:00Z,93645,93645,93029,93045,534.9225267102805
2025-04-23T19:30:00Z,93045,93679,93045,93563,541.9994890881177
2025-04-23T20:00:00Z,93563,93917,93541,93803,530.1423827246807
2025-04-23T20:30:00Z,93803,93913,93652,93687,510.91792681577493
2025-04-23T21:00:00Z,93685,93936,93626,93783,496.56664632893387
2025-04-23T21:30:00Z,93783,93850,93321,93522,498.8833144482957
2025-04-23T22:00:00Z,93523,93564,93293,93462,482.60593484484605
2025-04-23T22:30:00Z,93462,93828,93441,93824,475.77693949878557
2025-04-23T23:00:00Z,93828,93883,93720,93728,453.4357295345866
2025-04-23T23:30:00Z,93729,93740,93574,93730,432.9046059964018
2025-04-24T00:00:00Z,93730,93827,93339,93352,436.8399912823731
2025-04-24T00:30:00Z,93356,93695,93305,93410,433.49427761934646
2025-04-24T01:00:00Z,93405,93487,93117,93321,428.9589720751074
2025-04-24T01:30:00Z,93321,93654,93321,93525,422.1047597840283
2025-04-24T02:00:00Z,93525,93666,93392,93592,411.52584837088347
2025-04-24T02:30:00Z,93551,93556,93103,93139,417.0597163443918
2025-04-24T03:00:00Z,93138,93352,93138,93293,402.55545089122097
2025-04-24T03:30:00Z,93300,93300,92692,92694,417.23006154184804
2025-04-24T04:00:00Z,92693,92861,92415,92774,419.28505714600175
2025-04-24T04:30:00Z,92763,92850,92565,92773,409.69326734985873
2025-04-24T05:00:00Z,92774,92920,92545,92593,407.2151768248688
2025-04-24T05:30:00Z,92620,92766,92585,92587,391.05694990880676
2025-04-24T06:00:00Z,92586,92661,92293,92646,389.4100249153206
2025-04-24T06:30:00Z,92645,92676,92357,92453,384.38073742136913
2025-04-24T07:00:00Z,92427,92635,92324,92393,379.13925617698567
2025-04-24T07:30:00Z,92400,92483,92146,92230,376.12930930720097
2025-04-24T08:00:00Z,92234,92368,91893,91894,383.1915014995438
2025-04-24T08:30:00Z,91895,92179,91700,92043,390.0349656781478
2025-04-24T09:00:00Z,92043,92537,91999,92404,400.6038967011372
2025-04-24T09:30:00Z,92404,92579,92260,92502,394.77504693677025
2025-04-24T10:00:00Z,92498,92601,92375,92588,382.7196864412867
2025-04-24T10:30:00Z,92583,92668,92443,92557,371.4539945526234
2025-04-24T11:00:00Z,92563,92563,92295,92459,364.0644235131503
2025-04-24T11:30:00Z,92451,92657,92323,92613,361.91696469078244
2025-04-24T12:00:00Z,92614,92735,92457,92608,355.92289578429796
2025-04-24T12:30:00Z,92607,92813,92551,92793,349.21411751399097
2025-04-24T13:00:00Z,92793,92857,92695,92774,335.8416805487059
2025-04-24T13:30:00Z,92775,93000,92609,92866,339.7815605095126
2025-04-24T14:00:00Z,92865,93269,92679,92850,357.65430618740453
2025-04-24T14:30:00Z,92850,93416,92850,93124,372.5361414597328
2025-04-24T15:00:00Z,93125,93483,93062,93182,375.99784564118045
2025-04-24T15:30:00Z,93182,93380,93117,93240,367.92657095252474
2025-04-24T16:00:00Z,93241,93597,93241,93573,367.146101598773
2025-04-24T16:30:00Z,93573,93633,93406,93406,357.13566577028917
2025-04-24T17:00:00Z,93406,93484,92814,93070,379.4831182152685
2025-04-24T17:30:00Z,93074,93132,92736,93055,380.6628954856065
2025-04-24T18:00:00Z,93054,93437,93042,93261,381.68697437949174
2025-04-24T18:30:00Z,93262,93483,93222,93427,373.06647620952805
2025-04-24T19:00:00Z,93427,93553,93249,93538,368.133156480276
2025-04-24T19:30:00Z,93538,93739,93534,93618,356.4807881602563
2025-04-24T20:00:00Z,93603,93670,93384,93511,351.44644614880946
2025-04-24T20:30:00Z,93510,93599,93360,93440,343.4145571381802
2025-04-24T21:00:00Z,93440,93617,93089,93219,356.5992316283102
2025-04-24T21:30:00Z,93212,93440,93192,93400,348.8421436548594
2025-04-24T22:00:00Z,93400,93600,93341,93580,342.4248476795123
2025-04-24T22:30:00Z,93580,93632,93361,93481,337.32307284526144
2025-04-24T23:00:00Z,93480,93730,93423,93724,335.1571390705999
2025-04-24T23:30:00Z,93722,94035,93703,94010,334.9316291369856
2025-04-25T00:00:00Z,94010,94035,93565,93690,344.5793699129152
2025-04-25T00:30:00Z,93690,93962,93657,93936,341.7522720619927
2025-04-25T01:00:00Z,93937,94493,93709,93720,373.3413954861361
2025-04-25T01:30:00Z,93720,93905,93664,93707,363.8884386656978
2025-04-25T02:00:00Z,93706,93894,93204,93374,387.1821216181479
2025-04-25T02:30:00Z,93374,93374,92930,93022,391.2405415025659
2025-04-25T03:00:00Z,93021,93220,92891,93161,386.7947885380969
2025-04-25T03:30:00Z,93161,93413,93152,93333,377.8094464996614
2025-04-25T04:00:00Z,93333,93516,93261,93261,369.037343178257
2025-04-25T04:30:00Z,93252,93270,93091,93092,355.46324723695295
2025-04-25T05:00:00Z,93091,93450,93048,93416,358.787301005742
2025-04-25T05:30:00Z,93416,93437,93232,93232,347.8024937910462
2025-04-25T06:00:00Z,93237,93465,93229,93465,339.8166013774
2025-04-25T06:30:00Z,93471,93640,93466,93576,328.04398699329994
2025-04-25T07:00:00Z,93576,93809,93537,93544,324.04084506520707
2025-04-25T07:30:00Z,93533,93887,93530,93810,326.3950704176923
2025-04-25T08:00:00Z,93810,93911,93654,93847,321.4382796735714
2025-04-25T08:30:00Z,93846,93847,93683,93704,310.1926882683163
2025-04-25T09:00:00Z,93703,93711,93600,93686,295.96463910629376
2025-04-25T09:30:00Z,93686,93888,93678,93855,289.82430774155847
2025-04-25T10:00:00Z,93854,93977,93719,93720,287.5511429028757
2025-04-25T10:30:00Z,93719,93791,93629,93673,278.58320412409887
2025-04-25T11:00:00Z,93681,94227,93681,94207,298.2558324009489
2025-04-25T11:30:00Z,94210,94680,94124,94631,316.66613008659544
2025-04-25T12:00:00Z,94680,95011,94431,94472,335.47569222326723
2025-04-25T12:30:00Z,94532,94885,94362,94468,348.870285635891
2025-04-25T13:00:00Z,94469,94637,94250,94256,351.59383666189876
2025-04-25T13:30:00Z,94252,94744,94023,94484,377.97999118604884
2025-04-25T14:00:00Z,94461,95375,94460,94830,416.3385632441882
2025-04-25T14:30:00Z,94834,95857,94736,95491,466.67152301246045
2025-04-25T15:00:00Z,95491,95789,95341,95406,465.33784279728474
2025-04-25T15:30:00Z,95394,95471,94920,95158,471.4565683117644
2025-04-25T16:00:00Z,95158,95315,94838,95172,471.85252771806694
2025-04-25T16:30:00Z,95175,95469,95120,95295,463.0773471667764
2025-04-25T17:00:00Z,95295,95626,95294,95476,453.7146795120066
2025-04-25T17:30:00Z,95475,95475,94444,94592,495.02077383257756
2025-04-25T18:00:00Z,94596,94963,94596,94919,486.16214713025056
2025-04-25T18:30:00Z,94919,95304,94918,95077,479.0077080495184
2025-04-25T19:00:00Z,95078,95390,94981,95166,474.0071574745528
2025-04-25T19:30:00Z,95160,95434,95081,95407,465.3637890835133
2025-04-25T20:00:00Z,95399,95437,95008,95060,462.76637557754805
2025-04-25T20:30:00Z,95060,95106,94886,94990,445.4259201791518
2025-04-25T21:00:00Z,94966,95113,94785,94796,437.03835445206954
2025-04-25T21:30:00Z,94796,94934,94586,94698,430.67847199120746
2025-04-25T22:00:00Z,94689,94982,94689,94929,420.8442954204069
2025-04-25T22:30:00Z,94930,95049,94930,94945,399.35541717609215
2025-04-25T23:00:00Z,94944,95026,94717,94823,392.9014588063713
2025-04-25T23:30:00Z,94816,94843,94693,94726,375.5513546059162
2025-04-26T00:00:00Z,94720,94886,94699,94787,362.0834007054936
